municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019
Pedro Velho,2020-06-23,16,27,-6.438889999999957,-35.221649999999954,0,240980.0,14806.0
Pendências,2020-06-23,114,50,-5.2566399999999485,-36.71898999999996,5,240990.0,15129.0
Pilões,2020-06-23,12,10,-6.267339999999932,-38.04239999999993,0,241000.0,3838.0
Poço Branco,2020-06-23,63,25,-5.620549999999981,-35.65979999999996,1,241010.0,15413.0
Portalegre,2020-06-23,7,1,-6.024699999999938,-37.987439999999935,0,241020.0,7867.0
Porto do Mangue,2020-06-23,30,73,-5.067129999999963,-36.780739999999966,2,241025.0,6437.0
Pureza,2020-06-23,59,22,-5.4634699999999725,-35.55421999999993,1,241040.0,9621.0
Rafael Fernandes,2020-06-23,0,11,-6.193529999999952,-38.22623999999996,0,241050.0,5098.0
Rafael Godeiro,2020-06-23,10,13,-6.0769899999999675,-37.716549999999984,0,241060.0,3201.0
Riacho da Cruz,2020-06-23,10,3,-5.936379999999929,-37.948689999999935,1,241070.0,3579.0
Riacho de Santana,2020-06-23,0,0,-6.263279999999952,-38.313729999999964,0,241080.0,4204.0
Riachuelo,2020-06-23,38,100,-5.810169999999971,-35.82335999999998,1,241090.0,8128.0
Rio do Fogo,2020-06-23,41,48,-5.274719999999945,-35.38252999999997,1,240895.0,10848.0
Rodolfo Fernandes,2020-06-23,7,18,-5.7897199999999325,-38.06057999999996,0,241100.0,4467.0
Ruy Barbosa,2020-06-23,19,31,-5.881059999999932,-35.934789999999964,0,241110.0,3600.0
Santa Cruz,2020-06-23,125,215,-6.22900999999996,-36.021769999999954,2,241120.0,39674.0
Santa Maria,2020-06-23,24,51,-5.839589999999928,-35.68999999999994,1,240933.0,5551.0
Santana do Matos,2020-06-23,20,41,-5.958059999999932,-36.66101999999995,0,241140.0,12791.0
Santana do Seridó,2020-06-23,6,19,-6.771309999999971,-36.73416999999995,0,241142.0,2680.0
Santo Antônio,2020-06-23,86,156,-6.314239999999927,-35.47337999999996,7,241150.0,24136.0
São Bento do Norte,2020-06-23,9,32,-5.064439999999934,-36.03975999999994,0,241160.0,2747.0
São Bento do Trairí,2020-06-23,10,14,-6.342439999999954,-36.085579999999936,0,241170.0,4449.0
São Fernando,2020-06-23,6,6,-6.382319999999938,-37.18699999999996,1,241180.0,3584.0
São Francisco do Oeste,2020-06-23,2,2,-6.000169999999969,-38.16778999999997,0,241190.0,4228.0
São Gonçalo do Amarante,2020-06-23,992,717,-5.7931899999999805,-35.32882999999997,33,241200.0,102400.0
São João do Sabugi,2020-06-23,7,13,-6.7169099999999275,-37.20399999999995,0,241210.0,6193.0
São José de Mipibu,2020-06-23,320,404,-6.0736799999999675,-35.237859999999955,4,241220.0,43899.0
São José do Campestre,2020-06-23,31,65,-6.311859999999967,-35.71554999999995,2,241230.0,12856.0
São José do Seridó,2020-06-23,5,13,-6.449379999999963,-36.87972999999994,0,241240.0,4634.0
São Miguel,2020-06-23,27,53,-6.204529999999977,-38.492969999999964,0,241250.0,23519.0
São Miguel do Gostoso,2020-06-23,21,40,-5.124319999999956,-35.63579999999996,0,241255.0,10282.0
São Paulo do Potengi,2020-06-23,71,172,-5.8928999999999405,-35.756449999999965,5,241260.0,17579.0
São Pedro,2020-06-23,32,24,-5.8962799999999325,-35.635119999999965,3,241270.0,5971.0
São Rafael,2020-06-23,35,63,-5.802859999999952,-36.88585999999998,2,241280.0,8202.0
São Tomé,2020-06-23,43,46,-5.972529999999948,-36.07672999999994,2,241290.0,11055.0
São Vicente,2020-06-23,7,15,-6.219899999999938,-36.681949999999965,0,241300.0,6424.0
Senador Elói de Souza,2020-06-23,17,20,-6.036669999999957,-35.69077999999996,0,241310.0,6086.0
Senador Georgino Avelino,2020-06-23,12,10,-6.162669999999935,-35.12469999999996,2,241320.0,4440.0
Serra Caiada,2020-06-23,31,16,-6.106839999999977,-35.71097999999995,3,241030.0,10395.0
Serra de São Bento,2020-06-23,6,6,-6.417519999999968,-35.704249999999945,0,241330.0,5762.0
Serra do Mel,2020-06-23,53,59,-5.174689999999941,-37.038029999999935,2,241335.0,11938.0
Serra Negra do Norte,2020-06-23,31,18,-6.665899999999965,-37.399599999999964,2,241340.0,8078.0
Serrinha,2020-06-23,8,26,-6.277789999999925,-35.49991999999997,0,241350.0,6229.0
Serrinha dos Pintos,2020-06-23,1,2,-6.1126599999999485,-37.955829999999935,0,241355.0,4800.0
Severiano Melo,2020-06-23,10,27,-5.782089999999927,-37.95746999999994,0,241360.0,2440.0
Sítio Novo,2020-06-23,0,18,-6.11039999999997,-35.91463999999996,0,241370.0,5522.0
Taboleiro Grande,2020-06-23,6,9,-5.928269999999943,-38.04434999999995,1,241380.0,2566.0
Taipu,2020-06-23,17,13,-5.621829999999932,-35.596919999999955,1,241390.0,12279.0
