municipio,confirmado_30_03,suspeitos_30_03,suspeitos_28_03,confirmados_28_03,suspeitos_27_03,confirmados_27_03,suspeitos_25_03,confirmados_25_03,suspeitos_24_03,confirmados_24_03,mortes_24_03,confirmados_22_03,mortes_22_03,confirmados_20_03,mortes_20_03,confirmados_18_03,mortes_18_03,confirmados_16_03,mortes_16_03,confirmados_13_03,mortes_13_03,suspeitos_28_02,suspeitos_02_03,suspeitos_03_03,suspeitos_05_03,suspeitos_06_03,suspeitos_10_03,suspeitos_11_03,suspeitos_13_03,suspeitos_16_03,suspeitos_18_03,suspeitos_20_03,suspeitos_22_03
Serra do Mel,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Serra Negra do Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha dos Pintos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severiano Melo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sítio Novo,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Taboleiro Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taipu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangará,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenente Ananias,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenente Laurentino Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibau,1,2,2,1,3,,1,,4,,,,,,,,,,,,,,,,,,,,,,,2,3
Tibau do Sul,,3,3,,3,,4,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Timbaúba dos Batistas,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Touros,,1,1,,3,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
Triunfo Potiguar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umarizal,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Upanema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Várzea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venha-Ver,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Vera Cruz,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Viçosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vila Flor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
