municipio,confirmado_11_04,suspeito_11_04,confirmado_10_04,suspeito_10_04,confirmado_09_04,suspeito_09_04,confirmado_08_04,suspeito_08_04,confirmado_07_04,suspeito_07_04,confirmado_05_04,suspeito_05_04,confirmado_03_04,suspeito_03_04,confirmado_02_04,suspeitos_02_04,confirmado_01_04,suspeito_01_04,confirmado_30_03,suspeitos_30_03,confirmados_28_03,suspeitos_28_03,confirmados_27_03,suspeitos_27_03,confirmados_25_03,suspeitos_25_03,confirmados_24_03,suspeitos_24_03,confirmados_22_03,suspeitos_22_03,confirmados_20_03,suspeitos_20_03,confirmados_18_03,suspeitos_18_03,confirmados_16_03,suspeitos_16_03,confirmados_13_03,suspeitos_13_03,suspeitos_11_03,suspeitos_10_03,suspeitos_06_03,suspeitos_05_03,suspeitos_03_03,suspeitos_02_03,suspeitos_28_02
Ouro Branco,,2,,2,,2,,2,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraná,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraú,,9,,8,,8,,8,,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parazinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parelhas,,11,,11,,10,,9,,6,,7,,6,,6,,5,,3,,3,,3,,3,,4,,2,,,,,,,,,,,,,,,
Parnamirim,31,269,32,276,30,271,30,254,28,248,27,240,17,224,13,199,11,171,10,76,9,77,4,81,4,83,4,29,3,20,1,16,,13,,5,,4,2,2,1,2,1,1,1
Passa e Fica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,
Passagem,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,
Patu,,3,,3,,3,,3,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,
Pau dos Ferros,,11,,11,,11,,9,,6,,5,,9,,7,,9,,5,,5,,5,,4,,1,,,,,,,,,,,,,,,,,
Pedra Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedra Preta,,,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Avelino,,2,,2,,2,,2,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Velho,,4,,4,,4,,4,,4,,4,,5,,3,,3,,1,,1,,2,,2,,2,,,,,,,,,,,,,,,,,
Pendências,,,,,,,,,,1,,1,,2,,2,,2,,1,,1,,1,,1,,,,,,,,1,,,,,,,,,,,
Pilões,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,
Poço Branco,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portalegre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porto do Mangue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pureza,,3,,3,,3,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Fernandes,,2,,2,,1,,1,,1,,1,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Rafael Godeiro,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riacho da Cruz,,1,,1,,1,,1,,1,,1,,1,,2,,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Riacho de Santana,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riachuelo,,1,,1,,1,,,,,,,,2,,2,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Rio do Fogo,,4,,4,,3,,3,,3,,3,,2,,2,,2,,3,,3,,3,,3,,3,,3,,,,,,,,,,,,,,,
Rodolfo Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruy Barbosa,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,
Santa Cruz,1,11,,13,,14,,12,,10,,10,,12,,10,,7,,3,,3,,4,,5,,2,,2,,2,,2,,,,,,,,,,,
Santa Maria,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,
Santana do Matos,,1,,1,,1,,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,
Santana do Seridó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santo Antônio,1,13,1,11,1,11,1,9,1,7,1,7,1,7,,3,,3,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
São Bento do Norte,,,,,,,,,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Bento do Trairí,,3,,2,,,,,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Fernando,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,1,,1,,1,,,,,,,,,,,,,
São Francisco do Oeste,,1,,1,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
São Gonçalo do Amarante,19,86,11,107,11,107,11,100,11,85,10,79,9,59,1,62,1,39,2,18,1,18,,21,,23,,6,,4,,2,,,,,,,,,,,,,
São João do Sabugi,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,3,,3,,,,,,,,,,,,,,,,,
São José de Mipibu,2,17,1,20,1,20,1,19,1,20,1,21,1,21,1,20,1,18,1,6,1,6,,6,,6,,4,,4,,,,,,,,,,,,,,,
São José do Campestre,,3,,3,,3,,3,,4,,4,,4,,4,,4,,4,,4,,4,,4,,3,,,,,,,,,,,,,,,,,
São José do Seridó,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
São Miguel,,8,,8,,4,,4,,3,,3,,3,,3,,3,,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,
São Miguel do Gostoso,,2,,2,,2,,2,,3,,3,,1,,1,,1,,1,,1,,2,,2,,1,,1,,1,,1,,,,,,,,,,,
São Paulo do Potengi,,5,,5,,5,,3,,2,,2,,3,,3,,2,,2,,2,,2,,1,,1,,,,,,,,,,,,,,,,,
São Pedro,1,,1,,1,,1,,1,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Rafael,,2,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Tomé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Vicente,,7,,7,,5,,4,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Elói de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Georgino Avelino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra Caiada,,1,,1,,1,,1,,,,,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
Serra de São Bento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra do Mel,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
Serra Negra do Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha dos Pintos,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severiano Melo,,3,,3,,3,,3,,2,,2,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sítio Novo,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Taboleiro Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taipu,1,2,1,2,1,1,1,1,1,,1,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangará,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenente Ananias,1,,1,,1,,1,,1,,1,,,1,,2,,2,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
Tenente Laurentino Cruz,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibau,1,8,1,8,1,7,1,7,1,6,1,6,1,5,1,3,1,3,1,2,1,2,,3,,1,,4,,3,,2,,,,,,,,,,,,,
Tibau do Sul,,1,,1,,,,,,2,,2,,3,,3,,4,,3,,3,,3,,4,,1,,1,,1,,1,,1,,,,,,,,,
Timbaúba dos Batistas,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
Touros,,3,,4,,4,,3,,1,,1,,1,,1,,1,,1,,1,,3,,3,,1,,,,,,,,,,,,,,,,,
Triunfo Potiguar,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umarizal,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Upanema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Várzea,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venha-Ver,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Vera Cruz,,1,,2,,2,,2,,1,,1,,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Viçosa,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vila Flor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Importados,,,,,,,,,4,31,5,32,5,40,3,38,2,30,2,27,1,28,,30,,26,,24,,10,,3,,3,,2,,1,1,1,,,,,
