municipio,confirmado_29_06,suspeito_29_06,morte_29_06,confirmado_26_06,suspeito_26_06,morte_26_06,confirmado_25_06,suspeito_25_06,morte_25_06,confirmado_24_06,suspeito_24_06,morte_24_06,confirmado_23_06,suspeito_23_06,morte_23_06,confirmado_22_06,suspeito_22_06,morte_22_06,confirmado_20_06,suspeito_20_06,morte_20_06,confirmado_19_06,suspeito_19_06,morte_19_06,confirmado_18_06,suspeito_18_06,morte_18_06,confirmado_17_06,suspeito_17_06,morte_17_06,confirmado_16_06,suspeito_16_06,morte_16_06,confirmado_15_06,suspeito_15_06,morte_15_06,confirmado_13_06,suspeito_13_06,morte_13_06,confirmado_12_06,suspeito_12_06,morte_12_06,confirmado_11_06,suspeito_11_06,morte_11_06,confirmado_10_06,suspeito_10_06,morte_10_06,confirmado_09_06,suspeito_09_06,morte_09_06,confirmado_08_06,suspeito_08_06,morte_08_06,confirmado_06_06,suspeito_06_06,morte_06_06,confirmado_05_06,suspeito_05_06,morte_05_06,confirmado_04_06,suspeito_04_06,morte_04_06,confirmado_03_06,suspeito_03_06,morte_03_06,confirmado_02_06,suspeito_02_06,morte_02_06,confirmado_01_06,suspeito_01_06,morte_01_06,confirmado_30_05,suspeito_30_05,morte_30_05,confirmado_29_05,suspeito_29_05,morte_29_05,confirmado_27_05,suspeito_27_05,morte_27_05,confirmado_26_05,suspeito_26_05,morte_26_05,confirmado_25_05,suspeito_25_05,morte_25_05,confirmado_23_05,suspeito_23_05,morte_23_05,confirmado_22_05,suspeito_22_05,morte_22_05,confirmado_21_05,suspeito_21_05,morte_21_05,confirmado_20_05,suspeito_20_05,morte_20_05,confirmado_19_05,suspeito_19_05,morte_19_05,confirmado_18_05,suspeito_18_05,morte_18_05,confirmado_17_05,suspeito_17_05,morte_17_05,confirmado_16_05,suspeito_16_05,morte_16_05,confirmado_15_05,suspeito_15_05,morte_15_05,suspeito_14_05,confirmado_14_05,morte_14_05,confirmado_13_05,suspeito_13_05,morte_13_05,confirmado_12_05,suspeito_12_05,morte_12_05,confirmado_11_05,suspeito_11_05,morte_11_05,confirmado_10_05,suspeito_10_05,morte_10_05,confirmado_09_05,suspeito_09_05,morte_09_05,confirmado_08_05,suspeito_08_05,morte_08_05,confirmado_07_05,suspeito_07_05,morte_07_05,confirmado_06_05,suspeito_06_05,morte_06_05,confirmado_05_05,suspeito_05_05,morte_05_05,confirmado_04_05,suspeito_04_05,morte_04_05,confirmado_03_05,suspeito_03_05,morte_03_05,confirmado_02_05,suspeito_02_05,morte_02_05,confirmado_01_05,suspeito_01_05,morte_01_05,confirmado_30_04,suspeito_30_04,morte_30_04,confirmado_29_04,suspeito_29_04,morte_29_04,confirmado_28_04,suspeito_28_04,morte_28_04,confirmado_27_04,suspeito_27_04,morte_27_04,confirmado_26_04,suspeito_26_04,morte_26_04,confirmado_25_04,suspeito_25_04,morte_25_04,confirmado_24_04,suspeito_24_04,morte_24_04,confirmado_23_04,suspeito_23_04,morte_23_04,confirmado_22_04,suspeito_22_04,morte_22_04,confirmado_21_04,suspeito_21_04,morte_21_04,confirmado_20_04,suspeito_20_04,morte_20_04,confirmado_18_04,suspeito_18_04,morte_18_04,confirmado_17_04,suspeito_17_04,morte_17_04,confirmado_16_04,suspeito_16_04,morte_16_04,confirmado_15_04,suspeito_15_04,morte_15_04,confirmado_14_04,suspeito_14_04,morte_14_04,confirmado_13_04,suspeito_13_04,morte_13_04,confirmado_12_04,suspeito_12_04,morte_12_04,confirmado_11_04,suspeito_11_04,morte_11_04,confirmado_10_04,suspeito_10_04,morte_10_04,confirmado_09_04,suspeito_09_04,morte_09_04,confirmado_08_04,suspeito_08_04,morte_08_04,confirmado_07_04,suspeito_07_04,morte_07_04,morte_06_04,confirmado_05_04,suspeito_05_04,morte_05_04,morte_04_04,confirmado_03_04,suspeito_03_04,morte_03_04,confirmado_02_04,suspeito_02_04,morte_02_04,confirmado_01_04,suspeito_01_04,morte_01_04,morte_31_03,confirmado_30_03,suspeito_30_03,morte_30_03,morte_29_03,confirmado_28_03,suspeito_28_03,morte_28_03,confirmado_27_03,suspeito_27_03,morte_27_03,morte_26_03,confirmado_25_03,suspeito_25_03,morte_25_03,confirmado_24_03,suspeito_24_03,morte_24_03,morte_23_03,confirmado_22_03,suspeito_22_03,morte_22_03,morte_21_03,confirmado_20_03,suspeito_20_03,morte_20_03,morte_19_03,confirmado_18_03,suspeito_18_03,morte_18_03,morte_17_03,confirmado_16_03,suspeito_16_03,morte_16_03,morte_15_03,morte_14_03,confirmado_13_03,suspeito_13_03,morte_13_03,morte_12_03,suspeito_11_03,suspeito_10_03,suspeito_06_03,suspeito_05_03,suspeito_03_03,suspeito_02_03,suspeito_28_02
Caiçara do Norte,42,30,1,30,29,1,42,30,1,25,23,1,25,22,1,25,23,1,22,23,1,21,13,1,21,13,1,21,13,1,19,13,1,18,12,1,18,12,1,18,12,1,30,12,1,15,12,,14,13,,14,13,,12,11,,12,11,,12,11,,12,11,,5,6,,5,6,,5,6,,5,6,,5,6,,5,6,,5,6,,4,7,,4,7,,3,6,,3,6,,2,5,,2,5,,2,5,,2,5,,2,5,,4,2,,3,4,,,6,,,6,,,6,,,6,,,5,,,5,,,5,,,4,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caiçara do Rio do Vento,46,15,1,39,34,1,46,15,1,38,32,1,37,29,1,36,31,1,36,31,1,31,23,1,31,23,1,29,23,1,28,24,1,28,22,1,26,24,1,26,24,1,14,24,1,14,24,1,8,29,1,8,29,1,8,22,1,8,22,1,8,22,1,8,22,1,8,14,1,8,14,1,8,14,1,7,15,1,6,8,1,5,6,,1,9,,1,9,,1,9,,1,9,,1,10,,1,7,,,7,,,7,,,7,,,7,,5,,,,4,,,3,,,3,,,2,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,39,,,,40,,1,34,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caicó,310,676,5,273,455,4,310,676,5,255,393,3,211,378,3,210,497,3,201,500,2,160,406,2,160,406,2,157,407,2,144,407,2,139,399,2,137,400,2,130,401,2,129,401,2,88,401,2,73,404,1,70,405,1,64,358,1,64,360,1,64,360,1,60,361,1,50,330,1,46,330,1,35,296,1,34,297,1,29,250,1,27,242,1,23,243,1,20,256,1,17,241,,17,233,,15,219,,14,207,,14,207,,14,207,,10,210,,8,204,,196,8,,8,182,,5,171,,5,204,,4,182,,3,183,,2,163,,2,153,,2,148,,1,145,,1,144,,1,147,,1,147,,1,148,,1,140,,1,131,,1,99,,1,98,,1,98,,1,98,,1,94,,1,51,,,51,,,51,,,51,,,41,,,41,,,41,,,41,,,41,,,41,,,42,,,42,,,43,,,43,,,41,,,1,,,,1,,,,1,,,1,,,1,,,2,15,,,1,15,,,17,,,,3,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Campo Grande,13,3,,6,9,,13,3,,6,9,,6,7,,6,8,,5,9,,4,6,,4,6,,4,6,,4,6,,3,5,,3,5,,3,5,,3,5,,3,5,,3,5,,3,5,,2,4,,2,4,,2,4,,2,4,,2,4,,2,4,,2,4,,2,4,,2,6,,1,3,,1,2,,1,3,,1,3,,1,4,,1,4,,1,4,,1,3,,1,3,,1,3,,1,3,,3,1,,1,3,,1,4,,1,4,,1,3,,1,2,,,3,,,3,,,2,,,2,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,1,,,2,,,2,,,2,,1,1,,,1,1,,,1,2,,,3,,,3,,,,1,,,,1,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Campo Redondo,48,5,,25,15,,48,5,,25,16,,22,12,,23,13,,22,13,,21,10,,21,10,,18,10,,16,10,,16,10,,15,11,,15,11,,14,12,,10,12,,9,13,,9,13,,9,11,,9,14,,9,14,,9,14,,8,8,,8,8,,6,7,,4,9,,4,8,,4,8,,4,6,,4,7,,4,5,,4,4,,3,3,,3,3,,3,3,,3,3,,3,1,,3,1,,1,3,,3,1,,3,1,,2,1,,2,1,,2,1,,2,1,,2,1,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,2,,,1,3,,1,3,,1,3,,1,4,,1,2,,1,2,,,1,,,,,,,,,,,,,,,2,,,2,,,3,,,4,,,4,,,2,,,3,,,2,,,3,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canguaretama,144,139,9,83,129,9,144,139,9,82,118,7,77,88,7,77,105,7,73,105,7,70,69,7,70,69,7,70,69,7,69,70,7,67,52,7,67,52,7,66,53,7,65,53,7,59,53,7,59,53,7,59,53,7,56,45,7,56,46,7,56,46,7,56,46,7,54,42,7,54,42,7,54,40,7,52,41,7,52,44,7,52,43,7,48,42,7,45,44,7,43,42,7,43,41,7,42,43,7,39,43,7,38,43,7,38,43,7,38,42,7,38,39,7,40,37,7,32,40,6,30,36,5,28,38,5,28,40,5,28,40,5,26,33,4,26,27,4,22,29,4,17,28,4,17,27,4,17,25,4,16,24,3,15,25,3,14,21,3,12,26,3,11,40,3,11,38,3,11,36,3,11,33,3,11,15,3,11,16,3,7,21,2,6,17,2,6,17,1,5,11,1,5,11,1,4,12,1,4,12,1,3,13,,3,13,,,17,,,17,,,17,,,16,,,12,,,12,,,,12,,,,11,,,10,,,8,,,,6,,,,6,,,6,,,,6,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Caraúbas,142,61,,127,41,,142,61,,122,48,,115,30,,115,31,,108,38,,104,21,,104,21,,102,22,,102,22,,90,15,,89,15,,87,15,,82,15,,62,15,,59,18,,58,21,,45,19,,45,20,,44,21,,41,24,,34,12,,34,12,,33,4,,33,4,,19,2,,18,1,,16,2,,16,5,,11,2,,8,2,,7,2,,5,4,,5,3,,5,3,,5,3,,5,3,,3,5,,5,3,,4,2,,4,2,,6,5,,6,7,,6,1,,5,7,,4,7,,4,7,,4,7,,4,7,,2,7,,2,6,,2,6,,2,6,,1,9,,1,8,,1,8,,1,8,,1,6,,1,9,,1,9,,1,7,,1,7,,1,6,,1,6,,1,6,,1,7,,1,7,,1,9,,1,9,,1,9,,1,9,,1,9,,1,9,,1,10,,,1,10,,,1,6,,,6,,,6,,,,4,,,,5,,,5,,,,5,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnaúba dos Dantas,21,101,2,8,77,2,21,101,2,7,74,2,7,67,2,7,75,2,7,75,2,5,65,2,5,65,2,5,65,2,5,65,2,5,62,2,5,62,2,5,62,2,5,62,2,5,62,2,5,62,2,5,63,2,4,55,2,4,58,2,4,58,2,4,58,2,2,47,1,2,47,1,2,27,1,2,27,1,2,25,1,1,20,1,1,20,1,1,21,1,1,18,1,1,17,1,1,16,1,1,13,1,1,13,1,1,13,1,1,13,1,1,13,1,11,1,1,1,10,1,1,9,1,1,9,1,1,6,1,1,6,1,1,6,1,1,6,1,1,6,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,5,1,1,5,1,1,3,1,1,3,1,1,3,1,1,3,,1,5,,,6,,,4,,,4,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnaubais,62,34,2,36,61,2,62,34,2,33,58,1,32,52,1,32,60,1,31,61,1,26,57,1,26,57,1,26,57,1,26,57,1,26,52,1,26,52,1,26,52,,26,52,,21,53,,21,53,,21,53,,21,36,,21,36,,21,36,,21,36,,15,33,,15,33,,14,28,,11,31,,9,30,,9,30,,7,31,,5,22,,1,17,,1,17,,1,17,,2,15,,2,15,,2,15,,2,15,,2,12,,12,2,,2,12,,1,12,,1,11,,1,11,,1,11,,1,11,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,11,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,1,10,,,11,,1,11,,1,11,,1,11,,1,10,,1,11,,,1,12,,,1,12,,1,11,,1,10,,,1,9,,,,10,,,10,,,,10,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceará-Mirim,450,364,24,382,318,19,450,364,24,342,305,17,318,258,16,315,305,16,314,317,16,243,261,16,241,261,16,239,261,15,236,262,15,185,243,15,182,246,15,178,248,15,155,248,15,140,248,15,139,249,15,139,249,15,130,211,13,130,215,13,127,218,13,125,219,13,115,189,8,110,194,7,94,157,7,78,174,7,67,169,5,64,154,5,55,147,5,50,149,5,48,142,5,44,141,5,38,122,5,31,97,5,26,86,3,26,86,3,23,85,2,19,83,2,75,16,2,14,72,2,12,68,2,13,68,2,15,57,2,15,56,2,14,57,2,14,52,2,14,54,2,12,58,2,12,57,2,12,53,2,12,48,2,12,46,2,12,48,2,11,47,2,11,45,2,10,43,1,10,43,1,10,45,1,10,39,1,9,39,1,8,39,,7,36,,7,36,,7,35,,5,35,,5,36,,5,37,,5,36,,3,42,,3,42,,3,42,,3,43,,3,43,,3,41,,3,42,,,3,41,,,3,37,,2,37,,1,21,,,,8,,,,8,,,7,,,,7,,,2,,,,2,,,,1,,,,1,,,,1,,,,,,,,,,,,,,
Cerro Corá,12,47,1,6,33,1,12,47,1,5,29,1,3,24,1,3,35,1,4,36,1,2,26,1,1,26,1,1,26,1,1,26,1,1,23,1,1,23,1,1,23,1,1,23,1,1,23,1,1,23,1,1,23,1,1,21,1,1,22,1,1,22,1,1,22,1,1,21,1,1,21,1,1,20,1,1,20,1,1,20,1,1,20,1,1,20,1,1,18,1,1,16,1,1,16,1,1,17,1,1,17,1,1,16,1,1,16,1,1,15,1,1,14,1,14,1,1,1,14,1,1,15,1,1,15,1,1,13,1,1,13,1,1,13,1,1,13,1,1,14,1,1,14,1,1,14,1,1,15,1,1,13,1,1,13,1,1,13,1,1,12,1,1,11,1,1,11,1,1,11,1,1,11,1,1,8,1,1,8,1,1,8,1,1,8,1,1,8,1,1,5,1,1,5,1,1,5,1,1,5,1,1,6,1,1,8,1,,8,1,,8,,,9,,,9,,,4,,,4,,,,4,,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronel Ezequiel,20,4,,13,10,,20,4,,6,10,,1,10,,1,10,,1,10,,1,8,,1,8,,1,8,,1,8,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronel João Pessoa,6,8,1,6,11,1,6,8,1,6,10,1,6,7,1,6,10,1,6,10,1,6,9,1,6,9,1,6,9,1,4,9,1,4,8,1,4,8,1,4,8,1,4,8,1,3,8,1,3,8,1,3,8,1,2,8,1,2,8,1,2,8,1,2,8,1,2,8,1,2,8,1,2,8,1,2,8,1,2,7,1,2,5,1,2,5,1,2,5,1,2,5,1,2,3,1,2,3,1,2,2,1,2,2,1,2,2,1,2,2,1,1,2,,2,1,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,2,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruzeta,16,30,,16,21,,16,30,,15,19,,14,16,,13,21,,15,21,,15,17,,15,17,,15,17,,15,17,,13,16,,13,16,,13,16,,13,16,,13,16,,12,17,,12,23,,11,16,,11,32,,11,32,,11,35,,10,28,,10,28,,10,28,,11,29,,6,25,,6,19,,5,19,,4,20,,4,12,,1,13,,,11,,,11,,,10,,,10,,,9,,,9,,7,,,,7,,,7,,,7,,,6,,,6,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,4,,,4,,,5,,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,,2,,,,3,,,3,,,2,,,,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currais Novos,172,202,4,138,157,2,172,202,4,133,148,2,105,121,2,104,142,2,99,145,2,66,120,2,66,120,2,66,120,2,64,123,2,54,105,1,52,107,1,52,107,1,52,107,1,37,107,1,37,108,1,37,110,1,33,64,1,33,70,1,33,70,1,32,71,1,30,63,1,29,64,1,23,52,1,23,52,1,22,58,1,21,57,1,17,53,1,17,56,1,16,43,1,16,41,,14,39,,13,35,,13,30,,13,30,,12,32,,9,29,,26,8,,8,25,,7,24,,7,25,,6,34,,6,34,,6,32,,6,30,,6,29,,6,24,,6,22,,6,22,,6,22,,6,27,,8,24,,5,20,,2,22,,2,21,,2,21,,2,22,,2,16,,2,14,,2,12,,1,13,,1,14,,1,7,,1,7,,1,7,,1,7,,1,9,,,13,,,14,,,16,,,18,,,16,,,12,,,12,,,,11,,,,8,,,5,,,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doutor Severiano,16,6,1,16,9,1,16,6,1,14,7,1,14,7,1,14,7,1,14,7,1,9,4,1,9,4,1,9,4,1,9,4,1,8,4,1,8,4,1,8,4,1,7,5,,6,5,,6,5,,6,5,,6,5,,6,5,,6,5,,6,5,,6,3,,6,3,,6,3,,6,3,,6,3,,6,1,,6,1,,4,1,,3,1,,1,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
Encanto,20,13,2,19,23,3,20,13,2,17,24,2,17,17,2,17,32,2,17,33,2,15,28,2,15,28,2,15,28,2,15,28,2,15,27,2,15,27,2,15,27,2,15,27,2,15,27,2,15,27,2,15,27,2,15,29,2,15,29,2,15,29,2,15,29,2,15,21,2,15,21,2,14,21,2,14,21,2,13,21,2,13,21,2,12,22,2,12,24,2,12,24,2,12,27,2,12,27,2,12,24,2,11,25,2,11,25,2,11,25,2,11,25,2,25,11,2,11,25,2,11,22,2,11,22,2,11,24,2,11,28,2,11,22,2,11,18,1,10,18,1,10,18,1,10,16,1,10,16,1,10,15,1,10,22,1,10,22,1,10,21,1,4,29,1,4,24,1,4,24,1,4,24,1,4,14,1,4,14,1,4,13,1,4,13,1,4,13,1,2,2,1,1,3,1,1,4,,1,4,,1,4,,1,5,,1,5,,1,5,,,7,,,7,,,5,,,5,,,,5,,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equador,7,4,,7,3,,7,4,,7,3,,7,3,,7,4,,7,4,,6,3,,6,3,,6,3,,6,3,,6,3,,6,3,,6,3,,6,3,,5,3,,5,3,,5,3,,2,3,,2,3,,2,3,,2,3,,1,3,,1,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espírito Santo,62,28,1,34,13,,62,28,1,27,13,,21,13,,21,13,,20,14,,12,12,,12,12,,12,12,,12,12,,12,8,,12,8,,12,8,,12,8,,9,8,,9,8,,9,8,,5,6,,5,7,,5,7,,5,7,,5,6,,5,6,,3,5,,2,6,,2,5,,2,5,,1,6,,1,6,,1,6,,1,5,,1,4,,1,7,,,8,,,8,,,8,,,6,,5,,,,4,,,4,,,6,,,5,,,5,,,5,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,2,,,2,,,,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,2,,,,2,,,,2,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Extremoz,307,313,10,272,259,1,307,313,10,249,251,7,233,205,5,232,244,5,213,259,5,194,228,5,194,228,5,192,228,5,185,229,5,181,209,5,174,217,5,173,217,4,171,219,4,156,219,4,144,233,4,143,238,4,137,202,4,136,213,3,134,215,3,134,215,3,131,184,3,123,192,4,115,167,2,96,185,2,88,161,1,85,169,1,72,169,1,72,177,1,65,149,1,63,143,1,56,140,1,51,124,1,44,120,1,44,121,1,43,118,1,40,109,,110,35,,34,94,,33,86,,32,86,,31,84,,31,81,,28,65,,26,59,,25,59,,21,57,,20,52,,17,53,,17,53,,15,47,,15,42,,12,44,,11,45,,10,45,,9,44,,9,44,,9,24,,8,22,,6,22,,6,18,,6,18,,5,13,,5,14,,5,15,,5,15,,5,16,,6,23,,6,25,,5,25,,5,27,,5,27,,5,26,,5,24,,,5,22,,,5,22,,,24,,,17,,,,7,,,,7,,,8,,,,8,,,2,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
Felipe Guerra,81,7,1,51,10,7,81,7,1,51,8,1,49,8,1,49,12,1,48,12,1,42,10,1,42,10,1,41,11,1,41,12,,39,9,,39,9,,39,9,,40,9,,38,9,,36,9,,36,9,,36,9,,36,9,,36,9,,35,10,,34,8,,34,8,,34,8,,34,8,,33,8,,33,8,,33,8,,34,8,,33,8,,32,9,,26,9,,24,9,,18,8,,18,8,,13,8,,11,10,,9,9,,9,8,,7,6,,7,4,,6,5,,6,5,,6,4,,4,4,,1,4,,1,4,,,5,,,6,,,6,,,5,,,5,,,5,,,8,,,8,,,6,,,6,,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,,3,,,,4,,,4,,,4,,,,3,,,,3,,,3,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Pedroza,17,26,,10,34,1,17,26,,7,25,,7,25,,7,29,,7,29,,6,20,,6,20,,6,20,,5,20,,5,20,,5,20,,5,20,,5,20,,5,20,,5,20,,5,20,,4,18,,4,19,,4,19,,4,19,,4,18,,4,18,,3,16,,3,16,,2,19,,2,15,,1,16,,1,17,,1,16,,1,16,,1,15,,1,14,,1,12,,1,12,,1,12,,1,12,,11,1,,1,11,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,,2,,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florânia,32,99,,18,92,,32,99,,18,86,,17,68,,17,76,,16,76,,13,48,,13,48,,11,48,,10,49,,10,48,,9,49,,9,49,,9,49,,9,49,,6,52,,5,52,,3,47,,3,52,,3,52,,3,52,,3,47,,3,47,,3,42,,2,43,,1,36,,1,33,,1,30,,1,28,,1,25,,1,24,,1,20,,1,18,,,17,,,17,,,17,,,18,,17,,,,17,,,14,,,14,,,12,,,11,,,11,,,8,,,4,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,3,,,5,,,3,,,3,,,4,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,2,,,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Dantas,3,21,,2,19,,3,21,,1,20,,1,13,,1,16,,1,16,,1,15,,1,15,,1,15,,1,15,,1,15,,1,15,,1,15,,1,15,,1,15,,1,15,,1,15,,1,16,,1,16,,1,16,,1,16,,1,11,,1,11,,,11,,,11,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,7,,,7,,,7,,,7,,7,,,,7,,,7,,,6,,,7,,,7,,,5,,,5,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frutuoso Gomes,4,2,,5,8,,4,2,,5,8,,5,8,,5,8,,5,8,,5,7,,5,7,,5,7,,5,7,,5,7,,5,7,,5,7,,5,7,,5,7,,5,7,,5,7,,5,8,,5,8,,5,8,,4,9,,4,8,,4,8,,4,8,,4,8,,4,20,,4,12,,3,12,,3,15,,2,14,,2,15,,2,15,,2,5,,,5,,,5,,,5,,,2,,2,,,,2,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,,,,,1,,,1,1,,,,,
Galinhos,23,6,,17,4,,23,6,,15,3,,14,2,,14,2,,13,3,,11,2,,11,2,,11,2,,11,2,,6,2,,5,3,,5,3,,4,4,,4,4,,3,5,,3,6,,3,4,,3,4,,3,4,,3,4,,2,,,2,,,2,,,1,1,,1,2,,1,2,,1,1,,1,1,,1,1,,1,2,,1,2,,1,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,3,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
